ID,Timestamp,Client,Level,Message
1,2026-07-03 18:30:45,null,INFO,Application Started
2,2026-07-03 18:30:45,null,INFO,Application Started
3,2026-07-08 23:13:53,null,ERROR,Database Connection Failed
4,2026-07-08 23:27:26,null,INFO,Server Restarted
5,2026-07-08 23:27:28,null,ERROR,Database Connection Failed
6,2026-07-08 23:27:30,null,WARNING,Database Connection Failed
7,2026-07-08 23:27:32,null,ERROR,Network Timeout
8,2026-07-08 23:27:34,null,WARNING,Database Connection Failed
9,2026-07-08 23:27:36,null,INFO,Payment Successful
10,2026-07-08 23:27:38,null,ERROR,User Login Successful
11,2026-07-08 23:27:40,null,DEBUG,Network Timeout
12,2026-07-08 23:27:42,null,WARNING,Database Connection Failed
13,2026-07-08 23:27:44,null,DEBUG,File Uploaded
14,2026-07-08 23:27:47,null,WARNING,File Uploaded
15,2026-07-08 23:27:49,null,ERROR,Server Restarted
16,2026-07-08 23:27:51,null,ERROR,Server Restarted
17,2026-07-08 23:27:53,null,DEBUG,Payment Successful
18,2026-07-08 23:29:01,null,WARNING,Memory Usage High
19,2026-07-08 23:29:03,null,INFO,Application Started
20,2026-07-08 23:29:05,null,ERROR,Database Connection Failed
21,2026-07-08 23:29:07,null,ERROR,File Uploaded
22,2026-07-08 23:29:09,null,WARNING,Memory Usage High
23,2026-07-08 23:29:11,null,WARNING,Memory Usage High
24,2026-07-08 23:29:13,null,INFO,Application Started
25,2026-07-08 23:29:15,null,ERROR,Server Restarted
26,2026-07-08 23:29:17,null,WARNING,Database Connection Failed
27,2026-07-08 23:29:19,null,DEBUG,File Uploaded
28,2026-07-08 23:29:21,null,INFO,Server Restarted
29,2026-07-08 23:29:23,null,INFO,File Uploaded
30,2026-07-08 23:29:25,null,INFO,Memory Usage High
31,2026-07-08 23:29:27,null,ERROR,User Login Successful
32,2026-07-08 23:29:29,null,WARNING,Memory Usage High
33,2026-07-08 23:29:31,null,DEBUG,Application Started
34,2026-07-08 23:29:33,null,INFO,User Login Successful
35,2026-07-08 23:29:35,null,ERROR,Network Timeout
36,2026-07-08 23:29:37,null,DEBUG,User Login Successful
37,2026-07-08 23:29:39,null,ERROR,Payment Successful
38,2026-07-08 23:29:41,null,ERROR,File Uploaded
39,2026-07-08 23:29:43,null,DEBUG,Network Timeout
40,2026-07-08 23:29:45,null,INFO,User Login Successful
41,2026-07-09 00:21:06,Client-1,DEBUG,Memory Usage High
42,2026-07-09 00:21:08,Client-1,DEBUG,File Uploaded
43,2026-07-09 00:21:10,Client-1,ERROR,Database Connection Failed
44,2026-07-09 00:21:12,Client-1,WARNING,Server Restarted
45,2026-07-09 00:21:14,Client-1,INFO,Memory Usage High
46,2026-07-09 00:21:16,Client-1,WARNING,Database Connection Failed
47,2026-07-09 19:16:56,Client-1,DEBUG,Database Connection Failed
48,2026-07-09 19:16:58,Client-1,DEBUG,Memory Usage High
49,2026-07-09 19:17:00,Client-1,WARNING,File Uploaded
50,2026-07-09 19:17:02,Client-1,INFO,Database Connection Failed
51,2026-07-09 19:17:04,Client-1,ERROR,Database Connection Failed
52,2026-07-09 19:17:06,Client-1,WARNING,Memory Usage High
53,2026-07-09 19:17:08,Client-1,WARNING,Database Connection Failed
54,2026-07-09 19:17:10,Client-1,WARNING,File Uploaded
55,2026-07-09 19:17:11,Client-2,ERROR,Database Connection Failed
56,2026-07-09 19:17:12,Client-1,INFO,Memory Usage High
57,2026-07-09 19:17:13,Client-2,DEBUG,File Uploaded
58,2026-07-09 19:17:14,Client-1,INFO,User Login Successful
59,2026-07-09 19:17:15,Client-2,ERROR,Memory Usage High
60,2026-07-09 19:17:16,Client-1,ERROR,User Login Successful
61,2026-07-09 19:17:17,Client-2,WARNING,Payment Successful
62,2026-07-09 19:17:18,Client-1,INFO,Memory Usage High
63,2026-07-09 19:17:19,Client-2,WARNING,Application Started
64,2026-07-09 19:17:20,Client-1,ERROR,Payment Successful
65,2026-07-09 19:17:21,Client-2,ERROR,Memory Usage High
66,2026-07-09 19:17:22,Client-1,ERROR,Application Started
67,2026-07-09 19:17:23,Client-3,DEBUG,File Uploaded
68,2026-07-09 19:17:23,Client-2,INFO,User Login Successful
69,2026-07-09 19:17:24,Client-1,INFO,Server Restarted
70,2026-07-09 19:17:25,Client-3,ERROR,Memory Usage High
71,2026-07-09 19:17:25,Client-2,DEBUG,Server Restarted
72,2026-07-09 19:17:26,Client-1,WARNING,Memory Usage High
73,2026-07-09 19:17:27,Client-3,ERROR,Payment Successful
74,2026-07-09 19:17:27,Client-2,DEBUG,Network Timeout
75,2026-07-09 19:17:28,Client-1,ERROR,Application Started
76,2026-07-09 19:17:29,Client-3,ERROR,User Login Successful
77,2026-07-09 19:17:29,Client-2,ERROR,Network Timeout
78,2026-07-09 19:17:30,Client-1,WARNING,Server Restarted
79,2026-07-09 19:17:31,Client-3,DEBUG,File Uploaded
80,2026-07-09 19:17:31,Client-2,ERROR,Application Started
81,2026-07-09 19:17:32,Client-1,DEBUG,Server Restarted
82,2026-07-09 19:17:33,Client-3,ERROR,Payment Successful
83,2026-07-09 19:17:33,Client-2,DEBUG,Database Connection Failed
84,2026-07-09 19:17:34,Client-1,ERROR,Network Timeout
85,2026-07-09 19:17:35,Client-3,WARNING,Network Timeout
86,2026-07-09 19:17:35,Client-2,ERROR,Server Restarted
87,2026-07-09 19:17:36,Client-1,INFO,Payment Successful
88,2026-07-09 19:17:37,Client-3,DEBUG,Payment Successful
89,2026-07-09 19:17:37,Client-2,INFO,Server Restarted
90,2026-07-09 19:17:38,Client-1,ERROR,Network Timeout
91,2026-07-09 19:17:39,Client-3,DEBUG,File Uploaded
92,2026-07-09 19:17:39,Client-2,WARNING,Memory Usage High
93,2026-07-09 19:17:40,Client-1,ERROR,Network Timeout
94,2026-07-09 19:17:41,Client-3,WARNING,Payment Successful
95,2026-07-09 19:17:41,Client-2,DEBUG,Server Restarted
96,2026-07-09 19:17:42,Client-1,DEBUG,File Uploaded
97,2026-07-09 19:17:43,Client-3,DEBUG,Payment Successful
98,2026-07-09 19:17:43,Client-2,ERROR,Memory Usage High
99,2026-07-09 19:17:44,Client-1,WARNING,Payment Successful
100,2026-07-09 19:17:45,Client-3,INFO,Memory Usage High
101,2026-07-09 19:17:45,Client-2,DEBUG,File Uploaded
102,2026-07-09 19:17:46,Client-1,ERROR,Database Connection Failed
103,2026-07-09 19:17:47,Client-3,WARNING,Server Restarted
104,2026-07-09 19:17:47,Client-2,DEBUG,Memory Usage High
105,2026-07-09 19:17:48,Client-1,ERROR,Network Timeout
106,2026-07-09 19:17:49,Client-3,DEBUG,User Login Successful
107,2026-07-09 19:17:49,Client-2,INFO,Server Restarted
108,2026-07-09 19:17:50,Client-1,INFO,Database Connection Failed
109,2026-07-09 19:17:51,Client-3,ERROR,Server Restarted
110,2026-07-09 19:17:51,Client-2,INFO,Memory Usage High
111,2026-07-09 19:17:52,Client-1,WARNING,Payment Successful
112,2026-07-09 19:17:53,Client-3,INFO,File Uploaded
113,2026-07-09 19:17:53,Client-2,WARNING,Memory Usage High
114,2026-07-09 19:17:54,Client-1,DEBUG,Network Timeout
115,2026-07-09 19:17:55,Client-3,ERROR,Memory Usage High
116,2026-07-09 19:17:55,Client-2,DEBUG,Application Started
117,2026-07-09 19:17:56,Client-1,ERROR,Application Started
118,2026-07-09 19:17:57,Client-3,WARNING,Network Timeout
119,2026-07-09 19:17:57,Client-2,INFO,Memory Usage High
120,2026-07-09 19:17:58,Client-1,ERROR,Payment Successful
121,2026-07-09 19:17:59,Client-3,DEBUG,User Login Successful
122,2026-07-09 19:17:59,Client-2,ERROR,Database Connection Failed
123,2026-07-09 19:18:00,Client-1,ERROR,File Uploaded
124,2026-07-09 19:18:01,Client-3,INFO,User Login Successful
125,2026-07-09 19:18:01,Client-2,DEBUG,Server Restarted
126,2026-07-09 19:18:02,Client-1,INFO,File Uploaded
127,2026-07-09 19:18:03,Client-3,DEBUG,Payment Successful
128,2026-07-09 19:18:03,Client-2,INFO,Database Connection Failed
129,2026-07-09 19:18:04,Client-1,WARNING,Payment Successful
130,2026-07-09 19:18:05,Client-3,INFO,Application Started
131,2026-07-09 19:18:05,Client-2,ERROR,Application Started
132,2026-07-09 19:18:06,Client-1,WARNING,Payment Successful
133,2026-07-09 19:18:07,Client-3,INFO,Memory Usage High
134,2026-07-09 19:18:07,Client-2,DEBUG,Database Connection Failed
135,2026-07-09 19:18:08,Client-1,ERROR,Application Started
136,2026-07-09 19:18:09,Client-3,WARNING,Server Restarted
137,2026-07-09 19:18:09,Client-2,DEBUG,Server Restarted
138,2026-07-09 19:18:10,Client-1,ERROR,User Login Successful
139,2026-07-09 19:18:11,Client-3,DEBUG,User Login Successful
140,2026-07-09 19:18:11,Client-2,INFO,User Login Successful
141,2026-07-09 19:18:12,Client-1,DEBUG,Network Timeout
142,2026-07-09 19:18:13,Client-3,ERROR,Application Started
143,2026-07-09 19:18:13,Client-2,WARNING,Server Restarted
144,2026-07-09 19:18:14,Client-1,INFO,Network Timeout
145,2026-07-09 19:18:15,Client-3,DEBUG,User Login Successful
146,2026-07-09 19:18:15,Client-2,INFO,Payment Successful
147,2026-07-09 19:18:16,Client-1,INFO,File Uploaded
148,2026-07-09 19:18:17,Client-3,DEBUG,Network Timeout
